,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,(-0.3303695606302137+4.279222114557266j),(0.10853963266253303-1.4226865687760035j),(0.10977717135541996-1.4111443082282178j),(0.11205275661226073-1.4453912375530447j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1,(0.10853963266253303-1.4226865687760035j),(-106.94552516975085+161.67906942936182j),0j,0j,0j,0j,(106.83698553708832-160.2563828605858j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2,(0.10977717135541996-1.4111443082282178j),0j,(-77.80940301651056+117.96124093410877j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(77.69962584515514-116.55009662588056j),0j,0j,0j,0j,0j,0j
3,(0.11205275661226073-1.4453912375530447j),0j,0j,(-61.16175877780558+93.02046715788777j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(61.04970602119332-91.57507592033473j),0j,0j,0j,0j
4,0j,0j,0j,0j,(-22.645061953378395+39.1915868453409j),(10.297540774659115-15.44639834800827j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(12.347521178719282-23.74518849733263j),0j,0j,0j,0j
5,0j,0j,0j,0j,(10.297540774659115-15.44639834800827j),(-10.297540774659115+15.44639834800827j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6,0j,(106.83698553708832-160.2563828605858j),0j,0j,0j,0j,(-128.61896360722764+197.92359473266643j),(2.101280600606531-3.1519386917877967j),(4.246936071039535-6.370440064023286j),(11.804479511883033-22.700879558372797j),(3.629281886610219-5.443953557896757j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7,0j,0j,0j,0j,0j,0j,(2.101280600606531-3.1519386917877967j),(-30.26060097874008+44.889109499148546j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2.536189567646013-3.804305824583638j),(17.899390247051443-26.849236919051023j),(7.723740563436095-11.083628063726088j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8,0j,0j,0j,0j,0j,0j,(4.246936071039535-6.370440064023286j),0j,(-4.246936071039535+6.370440064023286j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
9,0j,0j,0j,0j,0j,0j,(11.804479511883033-22.700879558372797j),0j,0j,(-11.804479511883033+22.700879558372797j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
